frame,timestamp_ms,divergence,lr_balance,tau,vx_mean,vy_mean,flow_cnt,div_cnt,valid,ema_div,ema_lr,tau_ms,looming,evasion_level,turn_cmd,az_quiet,ax,ay,az,gx,gy,gz,roll,pitch,yaw
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854,-0.3711,-0.9712,-0.61,4.639,-3.357,-160.23,6.63,81.453
2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0854,-0.3711,-0.9712,-0.61,4.639,-3.357,-160.23,6.63,81.453
3,33,-0.02315,0.02381,1000000,2.16,0.68,25,18,1,-0.00515,0.02381,8,0,0,-0.0714,1,-0.1006,-0.3838,-0.9551,0.793,-10.071,3.845,-160.181,6.883,81.475
4,70,0.0471,-0.07885,21.23076,2.7,1.7,30,23,1,0.01593,-0.00699,24.183,0,0,0.021,1,-0.1006,-0.3838,-0.9551,0.793,-10.071,3.845,-160.181,6.883,81.475
5,102,0,0,1000000,-0.0645,-0.4839,31,25,1,0.01655,-0.00489,532.132,0,0,0.0147,1,-0.1006,-0.3838,-0.9551,0.793,-10.071,3.845,-160.181,6.883,81.475
6,128,-0.00321,-0.04495,1000000,-0.125,-1.4062,32,26,1,0.01602,-0.01691,0,0,0,0.0507,1,2.0029,-0.375,-0.9258,2.686,-17.639,12.39,-160.027,8.229,81.074
7,151,0.01984,0.0697,50.4,-0.9259,-2.1481,27,21,1,0.02257,0.00907,72.404,0,0,-0.0272,1,-0.1348,-0.3687,-0.9097,5.249,-12.573,14.771,-159.835,8.745,80.793
8,172,-0.01562,0.01042,1000000,-1,-2.4286,21,16,1,0.01651,0.00948,0,0,0,-0.0284,1,-0.1777,-0.3408,-0.9131,5.31,-5.432,14.709,-159.631,9.168,80.42
9,209,0,-0.03598,1000000,-1.3077,-2.0385,26,19,1,0.01696,-0.00416,948.526,0,0,0.0125,1,-0.1851,-0.3486,-0.9033,12.146,-2.075,6.47,-159.384,9.344,80.184
10,240,0.00758,-0.04688,132.00002,-1.7333,-1.6,30,22,1,0.01954,-0.01698,241.867,0,0,0.0509,1,-0.1816,-0.3735,-0.8906,9.155,-1.831,3.479,-159.088,9.443,80.107
11,268,-0.00877,-0.0119,1000000,-1.9259,-0.8148,27,19,1,0.01645,-0.01545,0,0,0,0.0464,1,-0.1753,-0.3643,-0.8921,2.502,2.991,-1.587,-158.906,9.487,80.118
12,295,0.00379,0.00595,264.00003,-0.8276,-0.8276,29,22,1,0.01805,-0.00903,247.901,0,0,0.0271,1,-0.1968,-0.3638,-0.9111,0.061,6.348,-5.188,-158.818,8.981,80.288
13,322,0,0,1000000,-0.8529,-0.4118,34,26,1,0.01804,-0.00632,0,0,0,0.019,1,-0.1968,-0.3638,-0.9111,0.061,6.348,-5.188,-158.818,8.981,80.288
14,339,0.01,0.00433,100,0.125,0.1875,32,25,1,0.02102,-0.00313,147.691,0,0,0.0094,1,-0.1792,-0.3545,-0.9033,-0.61,3.845,-3.235,-158.769,8.795,80.414
15,368,-0.00362,-0.00595,1000000,0.129,0.6774,31,23,1,0.01903,-0.00397,0,0,0,0.0119,1,-0.1792,-0.3545,-0.9033,-0.61,3.845,-3.235,-158.769,8.795,80.414
16,409,0.00333,-0.00926,300,0.4688,1,32,25,1,0.01972,-0.00556,570.867,0,0,0.0167,1,-0.1411,-0.3486,-0.9199,-1.831,1.282,-3.052,-158.791,8.685,80.524
17,434,-0.00333,-0.00556,1000000,0.1562,0.8125,32,25,1,0.0182,-0.00556,0,0,0,0.0167,1,-0.1411,-0.3486,-0.9199,-1.831,1.282,-3.052,-158.818,8.674,80.59
18,457,-0.01603,-0.0125,1000000,-0.3529,0.7353,34,26,1,0.01334,-0.00764,0,0,0,0.0229,1,-0.1729,-0.3203,-0.9219,-3.357,-2.625,-2.319,-158.912,8.723,80.684
19,481,0.02874,0.10825,34.8,0.3784,0.3243,37,29,1,0.02336,0.02713,55.942,0,0,-0.0814,1,-0.1562,-0.3398,-0.9214,-1.099,-6.409,-4.517,-158.95,8.817,80.854
20,522,-0.00298,-0.00521,1000000,0.2703,0,37,28,1,0.02086,0.01743,0,0,0,-0.0523,1,-0.1562,-0.3398,-0.9214,-1.099,-6.409,-4.517,-158.95,8.817,80.854
21,551,-0.01111,-0.0083,1000000,0.2051,0.1026,39,30,1,0.01667,0.00971,0,0,0,-0.0291,1,-0.1304,-0.353,-0.9263,-2.136,-6.714,-4.822,-159.011,9.047,81.194
22,590,-0.04598,-0.05474,1000000,0.2895,-0.2368,38,29,1,0.00327,-0.00962,0,0,0,0.0289,1,-0.1323,-0.3374,-0.9331,-2.502,-8.85,-3.967,-159.12,9.289,81.557
23,600,-0.03205,-0.04663,1000000,0.8788,-0.5758,33,26,1,-0.00192,-0.02073,22.585,0,0,0.0622,1,-0.1533,-0.3682,-0.9272,2.93,-13,-2.747,-159.109,9.613,81.876
24,619,-0.01449,-0.02564,1000000,0.6774,-0.6774,31,23,1,-0.00029,-0.0222,0,0,0,0.0666,1,-0.1533,-0.3682,-0.9272,2.93,-13,-2.747,-159.109,9.613,81.876
25,659,0.02333,0.04487,42.85714,1.2258,-1,31,25,1,0.01219,-0.00208,19.528,0,0,0.0062,1,-0.1685,-0.4121,-0.9272,2.747,-12.756,1.709,-158.917,10.102,82.172
26,682,0.00347,0.02083,288,1,-0.9655,29,24,1,0.01498,0.0048,123.753,0,0,-0.0144,1,-0.1685,-0.4121,-0.9272,2.747,-12.756,1.709,-158.917,10.102,82.172
27,705,-0.0119,-0.02083,1000000,0.8125,-1.2812,32,28,1,0.01231,-0.00289,0,0,0,0.0087,1,-0.2095,-0.415,-0.9199,5.554,-11.23,4.089,-158.78,10.558,82.233
28,745,-0.00575,0.0004,1000000,0.7273,-1.6061,33,29,1,0.01229,-0.00191,0,0,0,0.0057,1,-0.2095,-0.415,-0.9199,5.554,-11.23,4.089,-158.78,10.558,82.233
29,773,0.00362,0.00833,275.99997,0.0333,-1.7,30,23,1,0.01509,0.00117,113.258,0,0,-0.0035,1,-0.2378,-0.4019,-0.9111,2.625,-5.493,4.883,-158.56,10.986,82.2
30,796,-0.01736,-0.02738,1000000,-0.0938,-0.9688,32,24,1,0.01076,-0.0074,0,0,0,0.0222,1,-0.2158,-0.3657,-0.9287,0.671,4.211,1.282,-158.511,11.019,82.128
31,820,0.00667,0.01515,150,-0.9091,-1.2424,33,25,1,0.01493,-0.00063,82.289,0,0,0.0019,1,-0.2158,-0.3657,-0.9287,0.671,4.211,1.282,-158.511,11.019,82.128
32,844,0.00298,0.04501,336,-0.9714,-0.4,35,28,1,0.01674,0.01306,203.078,0,0,-0.0392,1,-0.2002,-0.3604,-0.9229,-0.366,4.761,-7.446,-158.472,10.723,82.244
33,872,0.02652,0.02381,37.71428,-0.4375,0.125,32,22,1,0.02508,0.01628,90.291,0,0,-0.0489,1,-0.2002,-0.3604,-0.9229,-0.366,4.761,-7.446,-158.472,10.723,82.244
34,910,-0.00379,-0.01042,1000000,0.0312,0.9375,32,22,1,0.02182,0.00827,0,0,0,-0.0248,1,-0.105,-0.396,-0.9209,7.141,4.517,-12.268,-158.099,10.217,82.848
35,928,0,0,1000000,1,0.7586,29,21,1,0.02067,0.00579,0,0,0,-0.0174,1,-0.123,-0.3701,-0.9297,6.287,3.723,-7.446,-157.906,10.042,83.024
36,956,-0.00379,0.00694,1000000,1.6897,1.0345,29,22,1,0.01873,0.00614,0,0,0,-0.0184,1,-0.123,-0.3701,-0.9297,6.287,3.723,-7.446,-157.906,10.042,83.024
37,994,0.01282,0.02564,78,1,1.2188,32,26,1,0.02236,0.01199,135.66,0,0,-0.036,1,-0.146,-0.3779,-0.8975,9.399,-9.705,-0.793,-157.418,10.19,83.331
38,1012,0.01282,-0.00198,78,0.7812,0.2812,32,26,1,0.0249,0.0078,353.127,0,0,-0.0234,1,-0.146,-0.3779,-0.8975,9.399,-9.705,-0.793,-157.418,10.19,83.331
39,1040,-0.00667,-0.02618,1000000,0.8065,-1.0323,31,25,1,0.02083,-0.00239,0,0,0,0.0072,1,-0.1387,-0.3843,-0.8813,9.338,-7.629,0.61,-157,10.481,83.463
40,1077,0.00347,0.0204,288.00003,0.2333,-1.2667,30,24,1,0.02102,0.00444,1000,0,0,-0.0133,1,-0.145,-0.3862,-0.8701,12.939,-4.883,2.136,-156.511,10.684,83.474
41,1096,0.00641,0.0119,156,0,-1,32,26,1,0.02204,0.00668,823.793,0,0,-0.02,1,-0.187,-0.4038,-0.8838,8.667,-4.028,2.319,-156.187,10.778,83.458
42,1124,0.00833,0.00231,119.99999,-0.0857,-0.7143,35,30,1,0.02333,0.00537,615.515,0,0,-0.0161,1,-0.1875,-0.4326,-0.8833,5.249,-5.92,2.869,-155.984,10.92,83.441
43,1155,0,-0.01133,1000000,0.0833,-0.25,36,31,1,0.02173,0.00036,0,0,0,-0.0011,1,-0.1875,-0.4326,-0.8833,5.249,-5.92,2.869,-155.984,10.92,83.441
44,1180,-0.01302,-0.03273,1000000,0.0811,-0.3514,37,32,1,0.0167,-0.00957,0,0,0,0.0287,1,-0.2158,-0.418,-0.8882,1.282,-3.601,5.31,-155.962,11.146,83.32
45,1207,-0.00538,-0.00877,1000000,0.1111,-0.5,36,31,1,0.01548,-0.00933,0,0,0,0.028,1,-0.2939,-0.3594,-0.9097,2.014,-3.601,1.526,-155.929,11.261,83.298
46,1247,-0.01075,-0.01852,1000000,0.1351,-0.3514,37,31,1,0.01301,-0.01208,0,0,0,0.0363,1,-0.2671,-0.4023,-0.8716,1.16,0,-5.188,-155.654,11.349,83.578
47,1264,-0.00833,-0.00231,1000000,0.3056,-0.5556,36,30,1,0.01201,-0.00915,0,0,0,0.0275,1,-0.2671,-0.4023,-0.8716,1.16,0,-5.188,-155.654,11.349,83.578
48,1303,-0.00287,-0.00463,1000000,0.7059,-0.0588,34,29,1,0.01294,-0.0078,262.779,0,0,0.0234,1,-0.2549,-0.4268,-0.8765,4.517,4.456,-8.301,-155.418,11.135,83.87
49,1319,-0.02083,-0.04815,1000000,1.0968,0.0645,31,24,1,0.00821,-0.0199,0,0,0,0.0597,1,-0.2549,-0.4268,-0.8765,4.517,4.456,-8.301,-155.418,11.135,83.87
50,1350,-0.01263,-0.01984,1000000,0.7368,1.0789,38,33,1,0.00736,-0.01988,0,0,0,0.0597,1,-0.1885,-0.4917,-0.8584,-2.869,5.493,1.404,-155.418,10.926,83.974
51,1387,-0.00505,-0.00794,1000000,0.7692,1.1282,39,33,1,0.00904,-0.0163,96.983,0,0,0.0489,1,-0.209,-0.436,-0.873,-3.54,1.099,5.432,-155.698,10.876,83.782
